budget,revenue,original_title,vote_average,release_year
138,1392.45,Jurassic World,6.5,2015
138,348.16,Mad Max: Fury Road,7.1,2015
101.2,271.62,Insurgent,6.3,2015
184,1902.72,Star Wars: The Force Awakens,7.5,2015
174.8,1385.75,Furious 7,7.3,2015
124.2,490.31,The Revenant,7.2,2015
142.6,405.36,Terminator Genisys,5.8,2015
99.36,547.75,The Martian,7.6,2015
68.08,1064.19,Minions,6.5,2015
161,785.41,Inside Out,8,2015
225.4,810.22,Spectre,6.2,2015
161.92,169.27,Jupiter Ascending,5.2,2015
13.8,33.92,Ex Machina,7.6,2015
80.96,224.15,Pixels,5.8,2015
257.6,1292.63,Avengers: Age of Ultron,7.4,2015
40.48,143.3,The Hateful Eight,7.4,2015
44.16,299.71,Taken 3,6.1,2015
119.6,477.11,Ant-Man,7,2015
87.4,498.96,Cinderella,6.8,2015
147.2,598.48,The Hunger Games: Mockingjay - Part 2,6.5,2015
174.8,192.31,Tomorrowland,6.2,2015
27.6,84.37,Southpaw,7.3,2015
101.2,432.85,San Andreas,6.1,2015
36.8,524.08,Fifty Shades of Grey,5.3,2015
25.76,122.68,The Big Short,7.3,2015
138,627.74,Mission: Impossible - Rogue Nation,7.1,2015
62.56,198.59,Ted 2,6.3,2015
74.52,371.5,Kingsman: The Secret Service,7.6,2015
18.4,81.28,Spotlight,7.8,2015
56.12,286.36,Maze Runner: The Scorch Trials,6.4,2015
45.08,93.9,Chappie,6.6,2015
26.68,264.51,Pitch Perfect 2,6.8,2015
36.8,149.6,Bridge of Spies,7.1,2015
53.36,138.16,Goosebumps,6.2,2015
5.52,32.57,Room,8,2015
161,305.37,The Good Dinosaur,6.6,2015
46,65.84,Run All Night,6.3,2015
10.12,57.11,Brooklyn,7.3,2015
25.76,185.5,Straight Outta Compton,7.7,2015
82.8,129.16,The Last Witch Hunter,5.6,2015
27.6,31.69,Steve Jobs,6.9,2015
69,99.49,The Man from U.N.C.L.E.,7,2015
23,39.22,The Age of Adaline,7.3,2015
9.2,13.19,Hardcore Henry,5.9,2015
124.2,339.36,Home,6.9,2015
11.04,78.67,Paper Towns,6.2,2015
3.68,8.34,The Lobster,6.6,2015
10.86,37.05,Carol,7.1,2015
32.2,179,The Intern,7.1,2015
50.6,187.15,Everest,6.7,2015
55.2,93.04,Joy,6.4,2015
96.6,123.02,Point Break,5.5,2015
18.4,33.68,Burnt,6.3,2015
23.92,28.08,Self/less,6.2,2015
55.2,27.99,Mortdecai,5.3,2015
13.8,59.06,The Danish Girl,7.3,2015
64.4,16.33,Blackhat,5,2015
27.6,77.3,Sicario,7.1,2015
110.4,154.54,Fantastic Four,4.4,2015
3.22,37.19,The Witch,5.8,2015
59.8,216.81,Spy,6.9,2015
46.09,141.65,Focus,6.7,2015
